record_id,record_type,extract_scope,population_complete,target_reporting_period,reported_q3_net_revenue_usd,event_date,event_period,original_order_date,original_order_period,reporting_group,refund_id,raw_amount_usd,included_in_q3_report,reporting_amount_usd,source_view
FIN-REV-034,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-01,2026-Q3,2026-09-01,2026-Q3,Retail Stores,,31200,TRUE,31200,Finance
FIN-REV-035,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-03,2026-Q3,2026-09-03,2026-Q3,Marketplace,,18200,TRUE,18200,Finance
FIN-REV-036,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-05,2026-Q3,2026-09-05,2026-Q3,Other Direct,,27200,TRUE,27200,Finance
FIN-REV-037,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-07,2026-Q3,2026-09-07,2026-Q3,Online DTC,,28600,TRUE,28600,Finance
FIN-REV-038,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-09,2026-Q3,2026-09-09,2026-Q3,Retail Stores,,24900,TRUE,24900,Finance
FIN-REV-039,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-11,2026-Q3,2026-09-11,2026-Q3,Marketplace,,18500,TRUE,18500,Finance
FIN-REV-040,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-12,2026-Q3,2026-09-12,2026-Q3,Other Direct,,31900,TRUE,31900,Finance
FIN-REV-041,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-14,2026-Q3,2026-09-14,2026-Q3,Online DTC,,18300,TRUE,18300,Finance
FIN-REV-042,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-16,2026-Q3,2026-09-16,2026-Q3,Retail Stores,,29100,TRUE,29100,Finance
FIN-REV-043,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-18,2026-Q3,2026-09-18,2026-Q3,Marketplace,,21100,TRUE,21100,Finance
FIN-REV-044,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-20,2026-Q3,2026-09-20,2026-Q3,Other Direct,,18800,TRUE,18800,Finance
FIN-REV-045,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-22,2026-Q3,2026-09-22,2026-Q3,Online DTC,,21600,TRUE,21600,Finance
FIN-REV-046,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-24,2026-Q3,2026-09-24,2026-Q3,Retail Stores,,19400,TRUE,19400,Finance
FIN-REV-047,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-26,2026-Q3,2026-09-26,2026-Q3,Marketplace,,21100,TRUE,21100,Finance
FIN-REV-048,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-28,2026-Q3,2026-09-28,2026-Q3,Other Direct,,31500,TRUE,31500,Finance
FIN-REF-001,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-07-22,2026-Q3,2026-07-08,2026-Q3,Returns,RF-1001,-18000,TRUE,-18000,Finance
FIN-REF-002,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-08-03,2026-Q3,2026-07-18,2026-Q3,Returns,RF-1002,-22000,TRUE,-22000,Finance
FIN-REF-003,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-08-19,2026-Q3,2026-07-30,2026-Q3,Returns,RF-1003,-15000,TRUE,-15000,Finance
FIN-REF-004,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-09-02,2026-Q3,2026-08-09,2026-Q3,Returns,RF-1004,-25000,TRUE,-25000,Finance
FIN-REF-005,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-09-14,2026-Q3,2026-08-21,2026-Q3,Returns,RF-1005,-17000,TRUE,-17000,Finance
FIN-REF-006,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-09-28,2026-Q3,2026-09-04,2026-Q3,Returns,RF-1006,-23000,TRUE,-23000,Finance
FIN-REF-007,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-02,2026-Q4,2026-07-12,2026-Q3,Returns,RF-1007,-20000,FALSE,0,Finance
FIN-REF-008,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-05,2026-Q4,2026-07-27,2026-Q3,Returns,RF-1008,-26000,FALSE,0,Finance
FIN-REF-009,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-07,2026-Q4,2026-08-05,2026-Q3,Returns,RF-1009,-18000,FALSE,0,Finance
FIN-REF-010,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-10,2026-Q4,2026-08-17,2026-Q3,Returns,RF-1010,-30000,FALSE,0,Finance
FIN-REF-011,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-13,2026-Q4,2026-08-29,2026-Q3,Returns,RF-1011,-24000,FALSE,0,Finance
FIN-REF-012,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-18,2026-Q4,2026-09-10,2026-Q3,Returns,RF-1012,-28000,FALSE,0,Finance
FIN-REF-013,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-23,2026-Q4,2026-09-19,2026-Q3,Returns,RF-1013,-34000,FALSE,0,Finance
