record_id,record_type,extract_scope,population_complete,target_reporting_period,reported_q3_net_revenue_usd,event_date,event_period,original_order_date,original_order_period,reporting_group,refund_id,raw_amount_usd,included_in_q3_report,reporting_amount_usd,source_view
SAL-REV-033,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-30,2026-Q3,2026-08-30,2026-Q3,Mobile App,,22000,TRUE,22000,Sales
SAL-REV-034,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-01,2026-Q3,2026-09-01,2026-Q3,Marketplace,,20500,TRUE,20500,Sales
SAL-REV-035,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-03,2026-Q3,2026-09-03,2026-Q3,Stores,,34100,TRUE,34100,Sales
SAL-REV-036,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-05,2026-Q3,2026-09-05,2026-Q3,Web,,19500,TRUE,19500,Sales
SAL-REV-037,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-07,2026-Q3,2026-09-07,2026-Q3,Mobile App,,19500,TRUE,19500,Sales
SAL-REV-038,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-09,2026-Q3,2026-09-09,2026-Q3,Marketplace,,21300,TRUE,21300,Sales
SAL-REV-039,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-11,2026-Q3,2026-09-11,2026-Q3,Stores,,31800,TRUE,31800,Sales
SAL-REV-040,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-12,2026-Q3,2026-09-12,2026-Q3,Web,,20800,TRUE,20800,Sales
SAL-REV-041,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-14,2026-Q3,2026-09-14,2026-Q3,Mobile App,,35400,TRUE,35400,Sales
SAL-REV-042,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-16,2026-Q3,2026-09-16,2026-Q3,Marketplace,,22900,TRUE,22900,Sales
SAL-REV-043,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-18,2026-Q3,2026-09-18,2026-Q3,Stores,,29200,TRUE,29200,Sales
SAL-REV-044,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-20,2026-Q3,2026-09-20,2026-Q3,Web,,20700,TRUE,20700,Sales
SAL-REV-045,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-22,2026-Q3,2026-09-22,2026-Q3,Mobile App,,22600,TRUE,22600,Sales
SAL-REV-046,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-24,2026-Q3,2026-09-24,2026-Q3,Marketplace,,33200,TRUE,33200,Sales
SAL-REV-047,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-26,2026-Q3,2026-09-26,2026-Q3,Stores,,35600,TRUE,35600,Sales
SAL-REV-048,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-09-28,2026-Q3,2026-09-28,2026-Q3,Web,,21700,TRUE,21700,Sales
SAL-REF-001,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-07-22,2026-Q3,2026-07-08,2026-Q3,Returns,RF-1001,-18000,TRUE,-18000,Sales
SAL-REF-002,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-08-03,2026-Q3,2026-07-18,2026-Q3,Returns,RF-1002,-22000,TRUE,-22000,Sales
SAL-REF-003,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-08-19,2026-Q3,2026-07-30,2026-Q3,Returns,RF-1003,-15000,TRUE,-15000,Sales
SAL-REF-004,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-09-02,2026-Q3,2026-08-09,2026-Q3,Returns,RF-1004,-25000,TRUE,-25000,Sales
SAL-REF-005,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-09-14,2026-Q3,2026-08-21,2026-Q3,Returns,RF-1005,-17000,TRUE,-17000,Sales
SAL-REF-006,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-09-28,2026-Q3,2026-09-04,2026-Q3,Returns,RF-1006,-23000,TRUE,-23000,Sales
SAL-REF-007,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-02,2026-Q4,2026-07-12,2026-Q3,Returns,RF-1007,-20000,TRUE,-20000,Sales
SAL-REF-008,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-05,2026-Q4,2026-07-27,2026-Q3,Returns,RF-1008,-26000,TRUE,-26000,Sales
SAL-REF-009,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-07,2026-Q4,2026-08-05,2026-Q3,Returns,RF-1009,-18000,TRUE,-18000,Sales
SAL-REF-010,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-10,2026-Q4,2026-08-17,2026-Q3,Returns,RF-1010,-30000,TRUE,-30000,Sales
SAL-REF-011,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-13,2026-Q4,2026-08-29,2026-Q3,Returns,RF-1011,-24000,TRUE,-24000,Sales
SAL-REF-012,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-18,2026-Q4,2026-09-10,2026-Q3,Returns,RF-1012,-28000,TRUE,-28000,Sales
SAL-REF-013,REFUND,refund_reconciliation_set,TRUE,2026-Q3,,2026-10-23,2026-Q4,2026-09-19,2026-Q3,Returns,RF-1013,-34000,TRUE,-34000,Sales
